JID,AID,OPEN ACCESS
MD,MD-D-15-05367,Yes
MD,MD-D-15-03803,Yes
SCS,SCS-15-1068,Yes
MD,MD-D-15-02161,Yes
MD,MD-D-15-04041,Yes
MD,MD-D-15-04103,Yes
MD,MD-D-15-04304,Yes
JAM,JAM-D-15-00078,Yes
MD,MD-D-15-05101,Yes
MD,MD-D-15-03270,Yes
MD,MD-D-15-04008,Yes
MD,MD-D-15-02536,Yes
MD,MD-D-15-04106,Yes
MD,MD-D-15-05751,Yes
MD,MD-D-15-04544,Yes
MD,MD-D-15-03895,Yes
MD,MD-D-15-03142,Yes
MD,MD-D-15-02970,Yes
MD,MD-D-15-02591,Yes
MD,MD-D-15-04082,Yes
MD,MD-D-15-02749,Yes
MD,MD-D-15-02297,Yes
MD,MD-D-15-02661,Yes
MD,MD-D-15-02599,Yes
MD,MD-D-15-02550,Yes
MD,MD-D-15-04229,Yes
MD,MD-D-15-02663,Yes
MD,MD-D-15-03696,Yes
MD,MD-D-15-02986,Yes
MD,MD-D-15-05701,Yes
MD,MD-D-15-04514,Yes
MD,MD-D-15-02862,Yes
MD,MD-D-15-03079,Yes
JOEM,JOEM-15-5684,Yes
MD,MD-D-15-03737,Yes
MD,MD-D-15-02749,Yes
MD,MD-D-15-04073,Yes
MD,MD-D-15-02296,Yes
MD,MD-D-15-02296,Yes
MD,MD-D-15-04144,Yes
MD,MD-D-15-02323,Yes
MD,MD-D-15-02698,Yes
MD,MD-D-15-01365,Yes
MD,MD-D-15-02959,Yes
MD,MD-D-15-03976,Yes
SPINE,SPINE141515,Yes
SHOCK,SHOCK-D-15-00470,Yes
MD,MD-D-15-02869,Yes
MD,MD-D-15-03287,Yes
MD,MD-D-15-03633,Yes
MD,MD-D-15-04246,Yes
MD,MD-D-15-03252,Yes
MD,MD-D-15-02272,Yes
MD,MD-D-15-02780,Yes
MD,MD-D-15-04835,Yes
MD,MD-D-15-04171,Yes
MD,MD-D-15-03655,Yes
MD,MD-D-15-04893,Yes
MD,MD-D-15-04143,Yes
MD,MD-D-15-03653,Yes
JAM,JAM-D-15-00035,Yes
MD,MD-D-15-04875,Yes
MD,MD-D-15-03003,Yes
MD,MD-D-15-04347,Yes
MD,MD-D-15-03493,Yes
MD,MD-D-15-02811,Yes
MD,MD-D-15-02845,Yes
MENO,MENO-D-15-00183,Yes
MD,MD-D-15-03319,Yes
MD,MD-D-15-02181,Yes
MD,MD-D-15-01739,Yes
MD,MD-D-15-04192,Yes
MD,MD-D-15-02869,Yes
MD,MD-D-15-03416,Yes
MD,MD-D-15-05047,Yes
MD,MD-D-15-04073,Yes
MD,MD-D-15-04643,Yes
MD,MD-D-15-03542,Yes
MD,MD-D-15-03600,Yes
MD,MD-D-15-03753,Yes
MD,MD-D-15-04167,Yes
MD,MD-D-15-03584,Yes
MD,MD-D-15-02014,Yes
MD,MD-D-15-03184,Yes
MD,MD-D-15-03184,Yes
MD,MD-D-15-03584,Yes
MD,MD-D-15-04031,Yes
MD,MD-D-15-02973,Yes
MD,MD-D-15-04078,Yes
MD,MD-D-15-04598,Yes
MD,MD-D-15-03809,Yes
MD,MD-D-15-04525,Yes
MD,MD-D-15-04412,Yes
MD,MD-D-15-04495,Yes
MD,MD-D-15-05238,Yes
MD,MD-D-15-02297,Yes
MD,MD-D-15-05203,Yes
MD,MD-D-15-01798,Yes
MD,MD-D-15-03213,Yes
MD,MD-D-15-03126,Yes
MD,MD-D-15-02624,Yes
MD,MD-D-15-03421,Yes
MD,MD-D-15-03483,Yes
MD,MD-D-15-03505,Yes
MD,MD-D-15-05552,Yes
MD,MD-D-15-05762,Yes
MD,MD-D-15-04507,Yes
MD,MD-D-15-05782,Yes
MD,MD-D-15-05207,Yes
MD,MD-D-15-02190,Yes
MD,MD-D-15-03543,Yes
MD,MD-D-15-04274,Yes
MD,MD-D-15-03375,Yes
MD,MD-D-15-03889,Yes
MD,MD-D-15-02996,Yes
MD,MD-D-15-04194,Yes
MD,MD-D-15-02272,Yes
MD,MD-D-15-03319,Yes
MD,MD-D-15-02862,Yes
MD,MD-D-15-00163,Yes
MD,MD-D-15-00774,Yes
MD,MD-D-15-03653,Yes
MD,MD-D-15-04143,Yes
MD,MD-D-15-02780,Yes
MD,MD-D-15-03003,Yes
MD,MD-D-15-03976,Yes
MD,MD-D-15-03130,Yes
MD,MD-D-15-02953,Yes
MD,MD-D-15-03777,Yes
MD,MD-D-15-03252,Yes
MD,MD-D-15-04425,Yes
MD,MD-D-15-04875,Yes
MD,MD-D-15-04494,Yes
MD,MD-D-15-05051,Yes
MD,MD-D-15-04191,Yes
MD,MD-D-15-04520,Yes
MD,MD-D-15-04893,Yes
MD,MD-D-15-04964,Yes
MD,MD-D-15-05238,Yes
MD,MD-D-15-03711,Yes
MD,MD-D-15-03404,Yes
MD,MD-D-15-04831,Yes
MD,MD-D-15-04495,Yes
MD,MD-D-15-04266,Yes
MD,MD-D-15-03287,Yes
MD,MD-D-15-03464,Yes
MD,MD-D-15-03510,Yes
MD,MD-D-15-03919,Yes
MD,MD-D-15-04610,Yes
MD,MD-D-15-03470,Yes
MD,MD-D-15-05614,Yes
MD,MD-D-15-04937,Yes
MD,MD-D-15-03776,Yes
MD,MD-D-15-05198,Yes
MD,MD-D-15-02215,Yes
MD,MD-D-15-04942,Yes
MD,MD-D-15-05000,Yes
MD,MD-D-15-04404,Yes
MD,MD-D-15-04696,Yes
MD,MD-D-15-03553,Yes
MD,MD-D-15-03553,Yes
MD,MD-D-15-03965,Yes
MD,MD-D-15-01495,Yes
MD,MD-D-15-00797,Yes
MD,MD-D-15-04459,Yes
MD,MD-D-15-04476,Yes
MD,MD-D-15-04592,Yes
MD,MD-D-15-04306,Yes
MD,MD-D-15-05925,Yes
MD,MD-D-15-02865,Yes
MD,MD-D-15-05707,Yes
MD,MD-D-15-05026,Yes
MD,MD-D-15-04274,Yes
MD,MD-D-15-03375,Yes
MD,MD-D-15-02217,Yes
SHOCK,SHOCK-D-15-00484,Yes
MD,MD-D-15-03149,Yes
MD,MD-D-15-05574,Yes
MD,MD-D-15-03431,Yes
MD,MD-D-15-04923,Yes
MD,MD-D-15-04015,Yes
MD,MD-D-15-03389,Yes
MD,MD-D-15-01928,Yes
MD,MD-D-15-03834,Yes
MD,MD-D-15-04156,Yes
MD,MD-D-15-03244,Yes
MD,MD-D-15-04290,Yes
MD,MD-D-15-04189,Yes
MD,MD-D-15-04755,Yes
MD,MD-D-15-03694,Yes
