JID,AID,OPEN ACCESS
MD,MD-D-15-04241,Yes
MD,MD-D-15-04191,Yes
MD,MD-D-15-03858,Yes
MD,MD-D-15-02779,Yes
MD,MD-D-15-04594,Yes
MD,MD-D-15-02568,Yes
MD,MD-D-15-03392,Yes
MD,MD-D-15-02323,Yes
MD,MD-D-15-03708,Yes
MD,MD-D-15-04020,Yes
MD,MD-D-15-02923,Yes
MD,MD-D-15-03649,Yes
MD,MD-D-15-02661,Yes
MD,MD-D-15-03882,Yes
MD,MD-D-15-03972,Yes
MD,MD-D-15-03803,Yes
MD,MD-D-15-03753,Yes
MD,MD-D-15-04167,Yes
MD,MD-D-15-02815,Yes
MD,MD-D-15-02999,Yes
MD,MD-D-15-03875,Yes
MD,MD-D-15-03979,Yes
MD,MD-D-15-02676,Yes
MD,MD-D-15-02707,Yes
MD,MD-D-15-04594,Yes
MD,MD-D-15-02363,Yes
MD,MD-D-15-01798,Yes
MD,MD-D-15-01928,Yes
MD,MD-D-15-04636,Yes
MD,MD-D-15-05421,Yes
MD,MD-D-15-04033,Yes
MD,MD-D-15-03365,Yes
MD,MD-D-15-03266,Yes
MD,MD-D-15-04156,Yes
MD,MD-D-15-03130,Yes
MD,MD-D-15-03819,Yes
MD,MD-D-15-04437,Yes
MD,MD-D-15-04319,Yes
MD,MD-D-15-04447,Yes
MD,MD-D-15-01758,Yes
MD,MD-D-15-02472,Yes
MD,MD-D-15-04409,Yes
MD,MD-D-15-03993,Yes
MD,MD-D-15-03060,Yes
MD,MD-D-15-04916,Yes
MD,MD-D-15-04628,Yes
MD,MD-D-15-02114,Yes
MD,MD-D-15-03352,Yes
MD,MD-D-15-04506,Yes
MD,MD-D-15-04067,Yes
MD,MD-D-15-04920,Yes
SPINE,SPINE151380,Yes
MD,MD-D-15-03522,Yes
MD,MD-D-15-03203,Yes
MD,MD-D-15-00459,Yes
MD,MD-D-15-01781,Yes
MD,MD-D-15-04967,Yes
MD,MD-D-15-03972,Yes
MD,MD-D-15-03586,Yes
MD,MD-D-15-04451,Yes
MD,MD-D-15-03994,Yes
MD,MD-D-15-02682,Yes
MD,MD-D-15-03578,Yes
MD,MD-D-15-02127,Yes
MD,MD-D-15-03777,Yes
MD,MD-D-15-02970,Yes
MD,MD-D-15-04115,Yes
MD,MD-D-15-03875,Yes
MD,MD-D-15-04710,Yes
MD,MD-D-15-04020,Yes
MD,MD-D-15-03025,Yes
MD,MD-D-15-03666,Yes
MD,MD-D-15-03079,Yes
MD,MD-D-15-03708,Yes
MD,MD-D-15-02114,Yes
MD,MD-D-15-02698,Yes
MD,MD-D-15-03993,Yes
MD,MD-D-15-04805,Yes
MD,MD-D-15-03205,Yes
MD,MD-D-15-03084,Yes
MD,MD-D-15-03025,Yes
MD,MD-D-15-04643,Yes
MD,MD-D-15-04595,Yes
MD,MD-D-15-04230,Yes
MD,MD-D-15-02472,Yes
MD,MD-D-15-03655,Yes
MD,MD-D-15-02739,Yes
MD,MD-D-15-03492,Yes
MD,MD-D-15-02504,Yes
MD,MD-D-15-03359,Yes
MD,MD-D-15-01758,Yes
MD,MD-D-15-03616,Yes
MD,MD-D-15-02731,Yes
MD,MD-D-15-04682,Yes
MD,MD-D-15-02854,Yes
MD,MD-D-15-04120,Yes
MD,MD-D-15-02815,Yes
MD,MD-D-15-03206,Yes
MD,MD-D-15-01197,Yes
MD,MD-D-15-04710,Yes
MD,MD-D-15-04964,Yes
MD,MD-D-15-03800,Yes
MD,MD-D-15-03858,Yes
MD,MD-D-15-04246,Yes
MD,MD-D-15-04460,Yes
MD,MD-D-15-04327,Yes
MD,MD-D-15-02953,Yes
MD,MD-D-15-02845,Yes
MD,MD-D-15-04347,Yes
MD,MD-D-15-04494,Yes
MD,MD-D-15-02170,Yes
MD,MD-D-15-03339,Yes
MD,MD-D-15-04602,Yes
MD,MD-D-15-05051,Yes
MD,MD-D-15-05058,Yes
MD,MD-D-15-00163,Yes
MD,MD-D-15-03777,Yes
MD,MD-D-15-04607,Yes
MD,MD-D-15-05367,Yes
MD,MD-D-15-02478,Yes
MD,MD-D-15-04229,Yes
MD,MD-D-15-02417,Yes
JOEM,JOEM-15-5490,Yes
MD,MD-D-15-03616,Yes
MD,MD-D-15-03372,Yes
MD,MD-D-15-04689,Yes
MD,MD-D-15-04689,Yes
MD,MD-D-15-04729,Yes
MD,MD-D-15-03281,Yes
MD,MD-D-15-02217,Yes
MD,MD-D-15-03542,Yes
MD,MD-D-15-04301,Yes
MD,MD-D-15-03365,Yes
MD,MD-D-15-04746,Yes
MD,MD-D-15-02093,Yes
MD,MD-D-15-03079,Yes
MD,MD-D-15-03252,Yes
MD,MD-D-15-04180,Yes
MD,MD-D-15-02363,Yes
MD,MD-D-15-03262,Yes
MD,MD-D-15-02093,Yes
MD,MD-D-15-04506,Yes
MD,MD-D-15-03392,Yes
MD,MD-D-15-02707,Yes
MD,MD-D-15-02822,Yes
MD,MD-D-15-01659,Yes
SPINE,SPINE141430,Yes
MD,MD-D-15-03302,Yes
JPGN,JPGN-15-202,Yes
MD,MD-D-15-04514,Yes
MD,MD-D-15-04595,Yes
MD,MD-D-15-04607,Yes
MD,MD-D-15-05367,Yes
MD,MD-D-15-03803,Yes
SCS,SCS-15-1068,Yes
MD,MD-D-15-02999,Yes
MD,MD-D-15-03459,Yes
MD,MD-D-15-03437,Yes
MD,MD-D-15-05035,Yes
MD,MD-D-15-02989,Yes
MD,MD-D-15-01365,Yes
MD,MD-D-15-04180,Yes
MD,MD-D-15-04319,Yes
JOEM,JOEM-15-5439,Yes
MD,MD-D-15-04628,Yes
MD,MD-D-15-03372,Yes
MD,MD-D-15-02779,Yes
MD,MD-D-15-04544,Yes
MD,MD-D-15-03895,Yes
MD,MD-D-15-03142,Yes
MD,MD-D-15-02970,Yes
MD,MD-D-15-02591,Yes
MD,MD-D-15-04082,Yes
MD,MD-D-15-02749,Yes
MD,MD-D-15-03432,Yes
MD,MD-D-15-02923,Yes
MD,MD-D-15-04327,Yes
MD,MD-D-15-02959,Yes
MD,MD-D-15-03319,Yes
MD,MD-D-15-04133,Yes
MD,MD-D-15-02568,Yes
MD,MD-D-15-01835,Yes
MD,MD-D-15-03101,Yes
MD,MD-D-15-03819,Yes
MD,MD-D-15-02731,Yes
MD,MD-D-15-03205,Yes
MD,MD-D-15-02564,Yes
MD,MD-D-15-00054,Yes
MD,MD-D-15-04746,Yes
MD,MD-D-15-04143,Yes
MD,MD-D-15-03687,Yes
MD,MD-D-15-02272,Yes
MD,MD-D-15-02244,Yes
MD,MD-D-15-03989,Yes
MD,MD-D-15-03416,Yes
MD,MD-D-15-03339,Yes
MD,MD-D-15-05047,Yes
MD,MD-D-15-04318,Yes
MD,MD-D-15-03979,Yes
MD,MD-D-15-03356,Yes
MD,MD-D-15-03203,Yes
MD,MD-D-15-00163,Yes
MD,MD-D-15-01777,Yes
MD,MD-D-15-01739,Yes
SPINE,SPINE141430,Yes
MD,MD-D-15-04318,Yes
MD,MD-D-15-01739,Yes
MD,MD-D-15-05058,Yes
MD,MD-D-15-03937,Yes
MD,MD-D-15-03600,Yes
MD,MD-D-15-01753,Yes
MD,MD-D-15-03538,Yes
MD,MD-D-15-02661,Yes
MD,MD-D-15-02599,Yes
MD,MD-D-15-02550,Yes
MD,MD-D-15-04229,Yes
MD,MD-D-15-02663,Yes
MD,MD-D-15-03696,Yes
MD,MD-D-15-02986,Yes
MD,MD-D-15-05701,Yes
MD,MD-D-15-04514,Yes
MD,MD-D-15-02862,Yes
MD,MD-D-15-03079,Yes
JOEM,JOEM-15-5684,Yes
MD,MD-D-15-03737,Yes
MD,MD-D-15-02749,Yes
MD,MD-D-15-04073,Yes
MD,MD-D-15-02296,Yes
MD,MD-D-15-02296,Yes
MD,MD-D-15-04144,Yes
MD,MD-D-15-02323,Yes
MD,MD-D-15-02698,Yes
MD,MD-D-15-01365,Yes
MD,MD-D-15-02959,Yes
MD,MD-D-15-03976,Yes
SPINE,SPINE141515,Yes
SHOCK,SHOCK-D-15-00470,Yes
MD,MD-D-15-02869,Yes
MD,MD-D-15-03287,Yes
MD,MD-D-15-03633,Yes
MD,MD-D-15-04246,Yes
MD,MD-D-15-03252,Yes
MD,MD-D-15-02272,Yes
MD,MD-D-15-02780,Yes
MD,MD-D-15-04835,Yes
MD,MD-D-15-04171,Yes
MD,MD-D-15-03655,Yes
MD,MD-D-15-04893,Yes
MD,MD-D-15-04143,Yes
MD,MD-D-15-03653,Yes
JAM,JAM-D-15-00035,Yes
MD,MD-D-15-04875,Yes
MD,MD-D-15-03003,Yes
MD,MD-D-15-04347,Yes
MD,MD-D-15-03493,Yes
MD,MD-D-15-02811,Yes
MD,MD-D-15-02845,Yes
MENO,MENO-D-15-00183,Yes
MD,MD-D-15-03319,Yes
MD,MD-D-15-02181,Yes
MD,MD-D-15-01739,Yes
MD,MD-D-15-04192,Yes
MD,MD-D-15-02869,Yes
MD,MD-D-15-03416,Yes
MD,MD-D-15-05047,Yes
MD,MD-D-15-04073,Yes
MD,MD-D-15-04643,Yes
MD,MD-D-15-03542,Yes
MD,MD-D-15-03600,Yes
MD,MD-D-15-03753,Yes
MD,MD-D-15-04167,Yes
MD,MD-D-15-03584,Yes
MD,MD-D-15-02014,Yes
MD,MD-D-15-03184,Yes
MD,MD-D-15-03184,Yes
MD,MD-D-15-03584,Yes
MD,MD-D-15-03809,Yes
MD,MD-D-15-04525,Yes
MD,MD-D-15-04412,Yes
MD,MD-D-15-04495,Yes
MD,MD-D-15-05238,Yes
MD,MD-D-15-02297,Yes
MD,MD-D-15-05203,Yes
